,USstate,year,month,nTweets_x,nTweets_y,misogyny_proportion
202,ak,2018,11,9539.142857142857,1.2857142857142856,0.00014034797433043442
203,ak,2018,12,9279.714285714286,1.4285714285714286,0.00016081028919499543
204,ak,2019,1,9020.285714285714,1.5714285714285714,0.00018127260405955645
205,ak,2019,2,8760.857142857143,1.7142857142857142,0.00020173491892411748
206,ak,2019,3,8501.42857142857,1.8571428571428572,0.0002221972337886785
207,ak,2019,4,8242.0,2.0,0.0002426595486532395
208,ak,2019,5,8095.260869565217,1.9565217391304348,0.00024104241084586494
209,ak,2019,6,7948.521739130435,1.9130434782608696,0.00023942527303849037
210,ak,2019,7,7801.782608695652,1.8695652173913044,0.0002378081352311158
211,ak,2019,8,7655.04347826087,1.8260869565217392,0.00023619099742374123
212,ak,2019,9,7508.304347826087,1.7826086956521738,0.00023457385961636666
213,ak,2019,10,7361.565217391304,1.7391304347826086,0.0002329567218089921
214,ak,2019,11,7214.826086956522,1.6956521739130435,0.00023133958400161752
215,ak,2019,12,7068.086956521739,1.6521739130434783,0.00022972244619424295
216,ak,2020,1,6921.347826086957,1.608695652173913,0.00022810530838686838
217,ak,2020,2,6774.608695652174,1.565217391304348,0.0002264881705794938
218,ak,2020,3,6627.869565217392,1.5217391304347827,0.00022487103277211924
219,ak,2020,4,6481.130434782609,1.4782608695652173,0.00022325389496474467
220,ak,2020,5,6334.391304347826,1.4347826086956523,0.0002216367571573701
221,ak,2020,6,6187.652173913044,1.391304347826087,0.00022001961934999553
222,ak,2020,7,6040.913043478261,1.3478260869565217,0.00021840248154262096
223,ak,2020,8,5894.173913043478,1.3043478260869565,0.0002167853437352464
224,ak,2020,9,5747.434782608696,1.2608695652173914,0.00021516820592787182
225,ak,2020,10,5600.695652173914,1.2173913043478262,0.00021355106812049726
226,ak,2020,11,5453.95652173913,1.1739130434782608,0.00021193393031312269
227,ak,2020,12,5307.217391304348,1.1304347826086958,0.00021031679250574812
228,ak,2021,1,5160.478260869566,1.0869565217391304,0.00020869965469837355
229,ak,2021,2,5013.739130434783,1.0434782608695652,0.00020708251689099898
230,ak,2021,3,4867.0,1.0,0.0002054653790836244
231,ak,2021,4,10081.909090909092,1.0,0.00018824754113709816
232,ak,2021,5,15296.818181818182,1.0,0.00017102970319057188
233,ak,2021,6,20511.727272727272,1.0,0.00015381186524404564
234,ak,2021,7,25726.636363636364,1.0,0.00013659402729751936
235,ak,2021,8,30941.545454545456,1.0,0.00011937618935099311
236,ak,2021,9,36156.454545454544,1.0,0.00010215835140446687
237,ak,2021,10,41371.36363636364,1.0,8.49405134579406e-05
238,ak,2021,11,46586.27272727273,1.0,6.772267551141434e-05
239,ak,2021,12,51801.181818181816,1.0,5.0504837564888095e-05
240,az,2012,1,57016.09090909091,1.0,3.328699961836182e-05
241,az,2012,2,62231.0,1.0,1.6069161671835582e-05
242,az,2012,3,60413.0,1.0,1.655272871732905e-05
243,az,2012,4,39250.0,2.0,5.0955414012738855e-05
244,az,2012,5,58689.5,3.0,5.107639635347486e-05
245,az,2012,6,78129.0,4.0,5.1197378694210855e-05
246,az,2012,7,104624.0,5.0,4.7790181985013e-05
247,az,2012,8,103277.0,6.0,5.809618792180253e-05
248,az,2012,9,79456.0,4.0,5.0342327829238826e-05
249,az,2012,10,107750.0,2.0,1.8561484918793502e-05
250,az,2012,11,103686.0,2.0,1.9289007194799682e-05
251,az,2012,12,100806.0,1.5,1.4750399886434417e-05
252,az,2013,1,97926.0,1.0,1.0211792578069154e-05
253,az,2013,2,72542.0,3.0,4.1355352761159056e-05
254,az,2013,3,105889.0,5.0,4.721925790214281e-05
255,az,2013,4,79684.0,2.0,2.509914160935696e-05
256,az,2013,5,75916.0,1.0,1.3172453764687285e-05
257,az,2013,6,98573.0,4.0,4.057906323232528e-05
258,az,2013,7,101182.0,3.0,2.9649542408728826e-05
259,az,2013,8,102162.0,4.0,3.915350130185392e-05
260,az,2013,9,90034.0,5.0,5.5534575826909837e-05
261,az,2013,10,24755.0,2.0,8.079175924055746e-05
262,az,2013,11,89909.0,2.0,2.2244714099812034e-05
263,az,2013,12,88739.0,3.0,3.380700706566448e-05
264,az,2014,1,82037.5,2.0,2.3540436738736455e-05
265,az,2014,2,75336.0,1.0,1.3273866411808432e-05
266,az,2014,3,74198.0,2.0,2.6954904444863743e-05
267,az,2014,4,85211.0,1.0,1.173557404560444e-05
268,az,2014,5,83726.0,6.0,7.166232711463584e-05
