,year,USstate,Number of establishments (ESTAB),month
237,2013,ms,342.5534979423868,10
238,2013,ms,343.3125900205762,11
239,2013,ms,344.0,12
240,2014,ms,344.6249099794238,1
241,2014,ms,345.19650205761315,2
242,2014,ms,345.72395833333337,3
243,2014,ms,346.21646090534983,4
244,2014,ms,346.68319187242804,5
245,2014,ms,347.1333333333334,6
246,2014,ms,347.5760673868313,7
247,2014,ms,348.02057613168733,8
248,2014,ms,348.4760416666667,9
249,2014,ms,348.95164609053495,10
250,2014,ms,349.45657150205767,11
251,2014,ms,350.0,12
252,2015,ms,350.590033436214,1
253,2015,ms,351.23045267489715,2
254,2015,ms,351.92395833333336,3
255,2015,ms,352.6732510288066,4
256,2015,ms,353.48103137860073,5
257,2015,ms,354.34999999999997,6
258,2015,ms,355.28285751028807,7
259,2015,ms,356.28230452674893,8
260,2015,ms,357.3510416666666,9
261,2015,ms,358.491769547325,10
262,2015,ms,359.70718878600815,11
263,2015,ms,361.0,12
264,2016,ms,362.36970164609045,1
265,2016,ms,363.8029835390946,2
266,2016,ms,365.2833333333333,3
267,2016,ms,366.79423868312745,4
268,2016,ms,368.3191872427983,5
269,2016,ms,369.8416666666666,6
270,2016,ms,371.3451646090534,7
271,2016,ms,372.81316872427976,8
272,2016,ms,374.2291666666667,9
273,2016,ms,375.5766460905349,10
274,2016,ms,376.83909465020565,11
275,2016,ms,378.0,12
276,2017,ms,379.0469007201645,1
277,2017,ms,379.98353909465015,2
278,2017,ms,380.8177083333333,3
279,2017,ms,381.5572016460905,4
280,2017,ms,382.2098122427983,5
281,2017,ms,382.78333333333325,6
282,2017,ms,383.28555812757196,7
283,2017,ms,383.72427983539086,8
284,2017,ms,384.10729166666664,9
285,2017,ms,384.4423868312756,10
286,2017,ms,384.73735853909454,11
287,2017,ms,385.0,12
288,2018,ms,385.23841306584353,1
289,2018,ms,385.4619341563785,2
290,2018,ms,385.6802083333333,3
291,2018,ms,385.9028806584361,4
292,2018,ms,386.1395961934156,5
293,2018,ms,386.40000000000003,6
294,2018,ms,386.6937371399176,7
295,2018,ms,387.03045267489716,8
296,2018,ms,387.4197916666667,9
297,2018,ms,387.87139917695475,10
298,2018,ms,388.3949202674897,11
299,2018,ms,389.0,12
300,2019,ms,389.69215534979423,1
301,2019,ms,390.46039094650206,2
302,2019,ms,391.2895833333333,3
303,2019,ms,392.164609053498,4
304,2019,ms,393.0703446502058,5
305,2019,ms,393.99166666666673,6
306,2019,ms,394.91345164609055,7
307,2019,ms,395.82057613168723,8
308,2019,ms,396.69791666666674,9
309,2019,ms,397.5303497942387,10
310,2019,ms,398.3027520576132,11
311,2019,ms,399.0,12
312,2020,ms,399.60697016460915,1
313,2020,ms,400.10853909465027,2
314,2020,ms,400.4895833333334,3
315,2020,ms,400.73497942386837,4
316,2020,ms,400.82960390946505,5
317,2020,ms,400.75833333333344,6
318,2020,ms,400.5060442386832,7
319,2020,ms,400.0576131687243,8
320,2020,ms,399.39791666666673,9
321,2020,ms,398.51183127572017,10
322,2020,ms,397.3842335390947,11
323,2020,ms,396.0,12
324,2012,md,1168.0,1
325,2012,md,1168.0,2
326,2012,md,1168.0,3
327,2012,md,1168.0,4
328,2012,md,1168.0,5
329,2012,md,1168.0,6
330,2012,md,1168.0,7
331,2012,md,1168.0,8
332,2012,md,1168.0,9
333,2012,md,1168.0,10
334,2012,md,1168.0,11
335,2012,md,1168.0,12
336,2013,md,1171.0203719778806,1
337,2013,md,1173.757651748971,2
338,2013,md,1176.2274739583333,3
339,2013,md,1178.4454732510285,4
340,2013,md,1180.4272842721193,5
341,2013,md,1182.1885416666667,6
342,2013,md,1183.7448800797324,7
343,2013,md,1185.1119341563785,8
344,2013,md,1186.3053385416667,9
345,2013,md,1187.3407278806583,10
346,2013,md,1188.2337368184158,11
347,2013,md,1189.0,12
348,2014,md,1189.655152070473,1
349,2014,md,1190.2148276748972,2
350,2014,md,1190.6946614583335,3
351,2014,md,1191.1102880658434,4
352,2014,md,1191.4773421424895,5
353,2014,md,1191.8114583333333,6
354,2014,md,1192.128271283436,7
355,2014,md,1192.4434156378602,8
356,2014,md,1192.7725260416664,9
357,2014,md,1193.1312371399174,10
358,2014,md,1193.5351835776748,11
359,2014,md,1194.0,12
360,2015,md,1194.5355243698557,1
361,2015,md,1195.1284079218108,2
362,2015,md,1195.7595052083334,3
363,2015,md,1196.4096707818928,4
364,2015,md,1197.0597591949586,5
365,2015,md,1197.690625,6
366,2015,md,1198.2831227494858,7
367,2015,md,1198.8181069958848,8
368,2015,md,1199.2764322916667,9
369,2015,md,1199.6389531893003,10
370,2015,md,1199.886524241255,11
371,2015,md,1200.0,12
372,2016,md,1199.9706902649175,1
373,2016,md,1199.8317258230452,2
374,2016,md,1199.6266927083336,3
375,2016,md,1199.3991769547324,4
376,2016,md,1199.1927645961935,5
377,2016,md,1199.0510416666668,6
378,2016,md,1199.0175942001028,7
379,2016,md,1199.1360082304527,8
380,2016,md,1199.4498697916667,9
381,2016,md,1200.0027649176955,10
382,2016,md,1200.8382796424894,11
383,2016,md,1202.0,12
384,2017,md,1203.5122701260286,1
385,2017,md,1205.322466563786,2
386,2017,md,1207.3587239583335,3
387,2017,md,1209.5491769547327,4
388,2017,md,1211.8219601980452,5
389,2017,md,1214.1052083333334,6
390,2017,md,1216.3270560056587,7
391,2017,md,1218.4156378600824,8
392,2017,md,1220.2990885416668,9
393,2017,md,1221.9055426954733,10
394,2017,md,1223.1631349665636,11
395,2017,md,1224.0,12
396,2018,md,1224.369118119856,1
397,2018,md,1224.322852366255,2
398,2018,md,1223.9384114583331,3
399,2018,md,1223.2930041152263,4
400,2018,md,1222.46383905607,5
401,2018,md,1221.528125,6
402,2018,md,1220.5630706661518,7
403,2018,md,1219.6458847736626,8
404,2018,md,1218.8537760416668,9
405,2018,md,1218.2639531893005,10
406,2018,md,1217.9536249356995,11
407,2018,md,1218.0,12
408,2019,md,1218.4591740612138,1
409,2019,md,1219.30279063786,2
410,2019,md,1220.4813802083331,3
411,2019,md,1221.945473251029,4
412,2019,md,1223.6456002443415,5
413,2019,md,1225.5322916666667,6
414,2019,md,1227.5560779963992,7
415,2019,md,1229.667489711934,8
416,2019,md,1231.817057291667,9
417,2019,md,1233.9553112139915,10
418,2019,md,1236.0327819573045,11
419,2019,md,1238.0,12
420,2020,md,1239.8074958204734,1
421,2020,md,1241.4057998971193,2
422,2020,md,1242.7454427083335,3
423,2020,md,1243.7769547325106,4
424,2020,md,1244.4508664480452,5
425,2020,md,1244.7177083333336,6
426,2020,md,1244.5280108667698,7
427,2020,md,1243.8323045267489,8
428,2020,md,1242.5811197916669,9
429,2020,md,1240.7249871399176,10
430,2020,md,1238.2144370498972,11
431,2020,md,1235.0,12
432,2012,az,208.0,1
433,2012,az,208.0,2
434,2012,az,208.0,3
435,2012,az,208.0,4
436,2012,az,208.0,5
437,2012,az,208.0,6
438,2012,az,208.0,7
439,2012,az,208.0,8
440,2012,az,208.0,9
441,2012,az,208.0,10
442,2012,az,208.0,11
443,2012,az,208.0,12
444,2013,az,206.19928478157644,1
445,2013,az,204.63402184235514,2
446,2013,az,203.2954326923077,3
447,2013,az,202.17473884140549,4
448,2013,az,201.26316179962018,5
449,2013,az,200.5519230769231,6
450,2013,az,200.03224418328585,7
451,2013,az,199.69534662868,8
452,2013,az,199.53245192307696,9
453,2013,az,199.53478157644827,10
454,2013,az,199.69355709876547,11
455,2013,az,200.0,12
456,2014,az,200.44533179012345,1
457,2014,az,201.0207739791073,2
458,2014,az,201.71754807692312,3
459,2014,az,202.5268755935423,4
460,2014,az,203.4399780389364,5
461,2014,az,204.44807692307694,6
462,2014,az,205.54239375593545,7
463,2014,az,206.71415004748343,8
464,2014,az,207.95456730769232,9
465,2014,az,209.25486704653372,10
466,2014,az,210.60627077397913,11
467,2014,az,212.0,12
468,2015,az,213.425059354226,1
469,2015,az,214.86158594491928,2
470,2015,az,216.28750000000005,3
471,2015,az,217.68072174738842,4
472,2015,az,219.01917141500473,5
473,2015,az,220.28076923076924,6
474,2015,az,221.44343542260214,7
475,2015,az,222.48509021842355,8
476,2015,az,223.38365384615386,9
477,2015,az,224.11704653371316,10
478,2015,az,224.66318850902184,11
479,2015,az,225.0,12
480,2016,az,225.11079653371317,1
481,2016,az,225.00047483380814,2
482,2016,az,224.67932692307696,3
483,2016,az,224.1576448243115,4
484,2016,az,223.44572056030387,5
485,2016,az,222.55384615384617,6
486,2016,az,221.49231362773025,7
487,2016,az,220.27141500474835,8
488,2016,az,218.90144230769232,9
489,2016,az,217.39268755935421,10
490,2016,az,215.75544278252607,11
491,2016,az,214.0,12
492,2017,az,212.14159247388412,1
493,2017,az,210.21521842355173,2
494,2017,az,208.26081730769235,3
495,2017,az,206.31832858499524,4
496,2017,az,204.42769171415003,5
497,2017,az,202.62884615384615,6
498,2017,az,200.96173136277304,7
499,2017,az,199.46628679962012,8
500,2017,az,198.18245192307694,9
501,2017,az,197.15016619183285,10
502,2017,az,196.4093690645774,11
503,2017,az,196.0,12
504,2018,az,195.94725486704652,1
505,2018,az,196.21735517568848,2
506,2018,az,196.76177884615385,3
507,2018,az,197.53200379867047,4
508,2018,az,198.4795079534663,5
509,2018,az,199.55576923076927,6
510,2018,az,200.7122655508072,7
511,2018,az,201.90047483380818,8
512,2018,az,203.071875,9
513,2018,az,204.17794396961065,10
514,2018,az,205.170159662868,11
515,2018,az,206.0,12
516,2019,az,206.63015194681864,1
517,2019,az,207.06813865147197,2
518,2019,az,207.33269230769233,3
519,2019,az,207.4425451092118,4
520,2019,az,207.41642924976261,5
521,2019,az,207.27307692307693,6
522,2019,az,207.031220322887,7
523,2019,az,206.70959164292498,8
524,2019,az,206.32692307692312,9
525,2019,az,205.9019468186135,10
526,2019,az,205.4533950617284,11
527,2019,az,205.0,12
528,2020,az,204.56049382716054,1
529,2020,az,204.1536087369421,2
530,2020,az,203.79807692307693,3
531,2020,az,203.51263057929728,4
532,2020,az,203.31600189933522,5
533,2020,az,203.2269230769231,6
534,2020,az,203.264126305793,7
535,2020,az,203.44634377967708,8
536,2020,az,203.7923076923077,9
537,2020,az,204.32075023741692,10
538,2020,az,205.05040360873696,11
539,2020,az,206.0,12
540,2012,tx,1910.0,1
541,2012,tx,1910.0,2
542,2012,tx,1910.0,3
543,2012,tx,1910.0,4
544,2012,tx,1910.0,5
545,2012,tx,1910.0,6
546,2012,tx,1910.0,7
547,2012,tx,1910.0,8
548,2012,tx,1910.0,9
549,2012,tx,1910.0,10
550,2012,tx,1910.0,11
551,2012,tx,1910.0,12
552,2013,tx,1898.7956317762741,1
553,2013,tx,1889.116799224438,2
554,2013,tx,1880.8715344551283,3
555,2013,tx,1873.96786957898,4
556,2013,tx,1868.3138367066322,5
557,2013,tx,1863.8174679487179,6
558,2013,tx,1860.386795415875,7
559,2013,tx,1857.92985121874,8
560,2013,tx,1856.3546674679487,9
561,2013,tx,1855.569276274137,10
562,2013,tx,1855.4817097479424,11
563,2013,tx,1856.0,12
564,2014,tx,1857.0321791409465,1
565,2014,tx,1858.486279281418,2
566,2014,tx,1860.2703325320515,3
567,2014,tx,1862.292371003482,4
568,2014,tx,1864.460426806347,5
569,2014,tx,1866.6825320512821,6
570,2014,tx,1868.8667188489237,7
571,2014,tx,1870.9210193099084,8
572,2014,tx,1872.7534655448717,9
573,2014,tx,1874.2720896644505,10
574,2014,tx,1875.3849237792815,11
575,2014,tx,1876.0,12
576,2015,tx,1876.058869252532,1
577,2015,tx,1875.6371577239634,2
578,2015,tx,1874.8440104166666,3
579,2015,tx,1873.7885723330169,4
580,2015,tx,1872.5799884753874,5
581,2015,tx,1871.3274038461539,6
582,2015,tx,1870.1399634476888,7
583,2015,tx,1869.1268122823676,8
584,2015,tx,1868.3970953525638,9
585,2015,tx,1868.0599576606514,10
586,2015,tx,1868.2245442090057,11
587,2015,tx,1869.0,12
588,2016,tx,1870.4690336637382,1
589,2016,tx,1872.6086083412467,2
590,2016,tx,1875.369250801282,3
591,2016,tx,1878.7014878125988,4
592,2016,tx,1882.5558461439537,5
593,2016,tx,1886.8828525641022,6
594,2016,tx,1891.6330338418006,7
595,2016,tx,1896.7569167458055,8
596,2016,tx,1902.2050280448718,9
597,2016,tx,1907.9278945077554,10
598,2016,tx,1913.8760429032125,11
599,2016,tx,1920.0,12
600,2017,tx,1926.2478664628836,1
601,2017,tx,1932.5580385406774,2
602,2017,tx,1938.8664863782058,3
603,2017,tx,1945.1091801202913,4
604,2017,tx,1951.22208991176,5
605,2017,tx,1957.1411858974357,6
606,2017,tx,1962.802438222143,7
607,2017,tx,1968.1418170307059,8
608,2017,tx,1973.095292467949,9
609,2017,tx,1977.5988346786958,10
610,2017,tx,1981.5884138077713,11
611,2017,tx,1985.0,12
612,2018,tx,1987.7906578921334,1
613,2018,tx,1990.0018300886356,2
614,2018,tx,1991.6960536858971,3
615,2018,tx,1992.9358657803102,4
616,2018,tx,1993.7838034682652,5
617,2018,tx,1994.3024038461538,6
618,2018,tx,1994.5542040103667,7
619,2018,tx,1994.6017410572965,8
620,2018,tx,1994.5075520833334,9
621,2018,tx,1994.3341741848685,10
622,2018,tx,1994.1441444582933,11
623,2018,tx,1994.0,12
624,2019,tx,1993.954664005619,1
625,2019,tx,1994.0226040677423,2
626,2019,tx,1994.2086738782052,3
627,2019,tx,1994.5177271288385,4
628,2019,tx,1994.954617511475,5
629,2019,tx,1995.5241987179488,6
630,2019,tx,1996.2313244400918,7
631,2019,tx,1997.0808483697372,8
632,2019,tx,1998.0776241987185,9
633,2019,tx,1999.2265056188667,10
634,2019,tx,2000.5323463220166,11
635,2019,tx,2002.0,12
636,2020,tx,2003.6343203446509,1
637,2020,tx,2005.4401610478,2
638,2020,tx,2007.4223758012827,3
639,2020,tx,2009.58581829693,4
640,2020,tx,2011.9353422265751,5
641,2020,tx,2014.4758012820519,6
642,2020,tx,2017.2120491551923,7
643,2020,tx,2020.1489395378285,8
644,2020,tx,2023.2913261217955,9
645,2020,tx,2026.6440625989237,10
646,2020,tx,2030.2120026610478,11
647,2020,tx,2034.0,12
648,2012,mn,921.0,1
649,2012,mn,921.0,2
650,2012,mn,921.0,3
651,2012,mn,921.0,4
652,2012,mn,921.0,5
653,2012,mn,921.0,6
654,2012,mn,921.0,7
655,2012,mn,921.0,8
656,2012,mn,921.0,9
657,2012,mn,921.0,10
658,2012,mn,921.0,11
659,2012,mn,921.0,12
660,2013,mn,924.3046349467791,1
661,2013,mn,927.0310076369102,2
662,2013,mn,929.2177984775641,3
663,2013,mn,930.9036878759099,4
664,2013,mn,932.1273562391185,5
665,2013,mn,932.927483974359,6
666,2013,mn,933.3427514888017,7
667,2013,mn,933.4118391896168,8
668,2013,mn,933.1734274839745,9
669,2013,mn,932.666196779044,10
670,2013,mn,931.928827481996,11
671,2013,mn,931.0,12
672,2014,mn,929.9183947402262,1
673,2014,mn,928.722692109845,2
674,2014,mn,927.4515725160256,3
675,2014,mn,926.1437163659385,4
676,2014,mn,924.8378040667537,5
677,2014,mn,923.572516025641,6
678,2014,mn,922.3865326497704,7
679,2014,mn,921.3185343463123,8
680,2014,mn,920.4072015224358,9
681,2014,mn,919.6912145853117,10
682,2014,mn,919.2092539421099,11
683,2014,mn,919.0,12
684,2015,mn,919.0912305367601,1
685,2015,mn,919.467112812599,2
686,2015,mn,920.1009114583334,3
687,2015,mn,920.9658911047799,4
688,2015,mn,922.0353163827555,5
689,2015,mn,923.2824519230769,6
690,2015,mn,924.6805623565607,7
691,2015,mn,926.2029123140234,8
692,2015,mn,927.822766426282,9
693,2015,mn,929.5133893241531,10
694,2015,mn,931.2480456384535,11
695,2015,mn,933.0,12
696,2016,mn,934.7380951497704,1
697,2016,mn,936.413486269389,2
698,2016,mn,937.9729066506411,3
699,2016,mn,939.3630895853117,4
700,2016,mn,940.5307683651868,5
701,2016,mn,941.4226762820513,6
702,2016,mn,941.9855466276905,7
703,2016,mn,942.1661126938903,8
704,2016,mn,941.911107772436,9
705,2016,mn,941.1672651551122,10
706,2016,mn,939.8813181337051,11
707,2016,mn,938.0,12
708,2017,mn,935.4928471974912,1
709,2017,mn,932.4206087765114,2
710,2017,mn,928.8668369391025,3
711,2017,mn,924.9150838873062,4
712,2017,mn,920.6489018231639,5
713,2017,mn,916.1518429487179,6
714,2017,mn,911.5074594660098,7
715,2017,mn,906.7993035770812,8
716,2017,mn,902.1109274839745,9
717,2017,mn,897.5258833887306,10
718,2017,mn,893.1277234933917,11
719,2017,mn,889.0,12
720,2018,mn,885.208918838042,1
721,2018,mn,881.7513008467868,2
722,2018,mn,878.6066205929486,3
723,2018,mn,875.7543526432414,4
724,2018,mn,873.1739715643796,5
725,2018,mn,870.8449519230769,6
726,2018,mn,868.7467682860474,7
727,2018,mn,866.8588952200063,8
728,2018,mn,865.1608072916665,9
729,2018,mn,863.6319790677429,10
730,2018,mn,862.2518851149492,11
731,2018,mn,861.0,12
732,2019,mn,859.8578200429329,1
733,2019,mn,858.8149285770812,2
734,2019,mn,857.8629306891025,3
735,2019,mn,856.9934314656538,4
736,2019,mn,856.1980359933918,5
737,2019,mn,855.4683493589744,6
738,2019,mn,854.7959766490583,7
739,2019,mn,854.1725229503007,8
740,2019,mn,853.5895933493591,9
741,2019,mn,853.0387929328901,10
742,2019,mn,852.5117267875514,11
743,2019,mn,852.0,12
744,2020,mn,851.4952176568931,1
745,2020,mn,850.9889848448877,2
746,2020,mn,850.4729066506412,3
747,2020,mn,849.9385881608105,4
748,2020,mn,849.3776344620529,5
749,2020,mn,848.7816506410259,6
750,2020,mn,848.1422417843861,7
751,2020,mn,847.4510129787907,8
752,2020,mn,846.6995693108975,9
753,2020,mn,845.879515867363,10
754,2020,mn,844.982457734845,11
755,2020,mn,844.0,12
756,2012,ct,760.0,1
757,2012,ct,760.0,2
758,2012,ct,760.0,3
759,2012,ct,760.0,4
760,2012,ct,760.0,5
761,2012,ct,760.0,6
762,2012,ct,760.0,7
763,2012,ct,760.0,8
764,2012,ct,760.0,9
765,2012,ct,760.0,10
766,2012,ct,760.0,11
767,2012,ct,760.0,12
768,2013,ct,768.6377678359448,1
769,2013,ct,776.2353691832858,2
770,2013,ct,782.8564302884615,3
771,2013,ct,788.5645773979105,4
772,2013,ct,793.4234367580723,5
773,2013,ct,797.4966346153847,6
774,2013,ct,800.8477972162867,7
775,2013,ct,803.5405508072175,8
776,2013,ct,805.6385216346154,9
777,2013,ct,807.2053359449192,10
778,2013,ct,808.3046199845678,11
779,2013,ct,809.0,12
780,2014,ct,809.3551022376543,1
781,2014,ct,809.4335529439695,2
782,2014,ct,809.2989783653848,3
783,2014,ct,809.0150047483381,4
784,2014,ct,808.6452583392687,5
785,2014,ct,808.2533653846154,6
786,2014,ct,807.9029521308167,7
787,2014,ct,807.6576448243117,8
788,2014,ct,807.5810697115386,9
789,2014,ct,807.7368530389363,10
790,2014,ct,808.188621052944,11
791,2014,ct,809.0,12
792,2015,ct,810.2172861764008,1
793,2015,ct,811.8174560778729,2
794,2015,ct,813.7601562500001,3
795,2015,ct,816.0050332383665,4
796,2015,ct,818.5117335885565,5
797,2015,ct,821.239903846154,6
798,2015,ct,824.1491905567426,7
799,2015,ct,827.1992402659068,8
800,2015,ct,830.3496995192306,9
801,2015,ct,833.5602148622982,10
802,2015,ct,836.7904328406931,11
803,2015,ct,840.0,12
804,2016,ct,843.1490169456314,1
805,2016,ct,846.199400522317,2
