cbsa,YEAR,alcohol
43780,2012,27
43900,2012,22
43940,2012,5
43980,2012,3
44020,2012,3
44060,2012,33
44100,2012,15
44140,2012,143
44180,2012,26
44220,2012,17
44260,2012,8
44300,2012,22
44340,2012,1
44420,2012,8
44460,2012,11
44500,2012,1
44540,2012,3
44580,2012,7
44620,2012,4
44660,2012,7
44700,2012,51
44740,2012,1
44780,2012,3
44860,2012,1
44900,2012,NA
44920,2012,4
44940,2012,7
44980,2012,14
45000,2012,NA
45020,2012,3
45060,2012,57
45140,2012,5
45180,2012,4
45220,2012,29
45300,2012,180
45340,2012,4
45380,2012,2
45460,2012,21
45500,2012,17
45520,2012,2
45540,2012,3
45580,2012,1
45620,2012,5
45660,2012,4
45700,2012,NA
45740,2012,2
45780,2012,30
45820,2012,54
45860,2012,50
45900,2012,21
45940,2012,64
45980,2012,3
46020,2012,9
46060,2012,30
46100,2012,12
46140,2012,90
46180,2012,18
46220,2012,13
46300,2012,7
46340,2012,5
46380,2012,12
46460,2012,4
46500,2012,3
46520,2012,43
46540,2012,29
46620,2012,2
46660,2012,12
46700,2012,28
46740,2012,2
46780,2012,1
46820,2012,2
46860,2012,1
46900,2012,1
46980,2012,7
47020,2012,9
47080,2012,3
47180,2012,6
47220,2012,27
47240,2012,6
47260,2012,87
47300,2012,20
47340,2012,3
47380,2012,13
47420,2012,4
47460,2012,6
47540,2012,1
47580,2012,25
47620,2012,7
47660,2012,4
47700,2012,6
47780,2012,3
47820,2012,6
47900,2012,710
47920,2012,NA
47940,2012,14
47980,2012,4
48020,2012,7
48060,2012,12
48100,2012,NA
48140,2012,1
48180,2012,8
48220,2012,9
48260,2012,7
48300,2012,16
48460,2012,6
48500,2012,NA
48540,2012,8
48580,2012,11
48620,2012,120
48660,2012,8
48700,2012,19
48780,2012,2
48820,2012,7
48900,2012,22
48940,2012,4
48980,2012,7
49020,2012,6
49080,2012,1
49100,2012,10
49180,2012,23
49220,2012,3
49260,2012,1
49300,2012,13
49340,2012,188
49380,2012,6
49420,2012,13
49460,2012,2
49620,2012,45
49660,2012,56
49700,2012,11
49740,2012,11
49780,2012,7
49820,2012,NA
10100,2013,3
10140,2013,4
10180,2013,15
10220,2013,4
10300,2013,9
10420,2013,56
10460,2013,1
10500,2013,19
10540,2013,5
10580,2013,130
10620,2013,2
10660,2013,6
10700,2013,8
10740,2013,35
10760,2013,NA
10780,2013,4
10820,2013,8
10860,2013,6
10900,2013,115
10940,2013,5
10980,2013,3
11020,2013,17
11060,2013,2
11100,2013,28
11140,2013,3
11180,2013,4
11220,2013,9
11260,2013,47
11380,2013,NA
11420,2013,5
11460,2013,44
11500,2013,7
11540,2013,7
11580,2013,NA
