,year,USstate,cost_of_living_index,month
334,2019,nj,79.61129086894651,11
335,2019,nj,79.57259170107719,12
336,2020,nj,79.53855689312401,1
337,2020,nj,79.51070682784913,2
338,2020,nj,79.49056188801467,3
339,2020,nj,79.47964245638285,4
340,2020,nj,79.47946891571573,5
341,2020,nj,79.49156164877549,6
342,2020,nj,79.5174410383243,7
343,2020,nj,79.55862746712432,8
344,2020,nj,79.61664131793766,9
345,2020,nj,79.6930029735265,10
346,2020,nj,79.78923281665297,11
347,2020,nj,79.90685123007924,12
348,2021,nj,80.04737859656743,1
349,2021,nj,80.21233529887972,2
350,2021,nj,80.40324171977822,3
351,2021,nj,80.62161824202514,4
352,2021,nj,80.86898524838256,5
353,2021,nj,81.14686312161265,6
354,2021,nj,81.4567722444776,7
355,2021,nj,81.80023299973952,8
356,2021,nj,82.17876577016058,9
357,2021,nj,82.59389093850291,10
358,2021,nj,83.04712888752866,11
359,2021,nj,83.54,12
360,2012,md,84.071646615031,1
361,2012,md,84.6316988971436,2
362,2012,md,85.20740896721158,3
363,2012,md,85.7860289461088,4
364,2012,md,86.3548109547091,5
365,2012,md,86.90100711388632,6
366,2012,md,87.41186954451429,7
367,2012,md,87.87465036746691,8
368,2012,md,88.27660170361791,9
369,2012,md,88.60497567384121,10
370,2012,md,88.84702439901062,11
371,2012,md,88.99,12
372,2013,md,89.024639681292,1
373,2013,md,88.95562098180473,2
374,2013,md,88.79110652406519,3
375,2013,md,88.53925893060021,4
376,2013,md,88.20824082393682,5
377,2013,md,87.80621482660193,6
378,2013,md,87.34134356112249,7
379,2013,md,86.82178965002545,8
380,2013,md,86.25571571583775,9
381,2013,md,85.65128438108628,10
382,2013,md,85.01665826829806,11
383,2013,md,84.36,12
384,2014,md,83.68964419683799,1
385,2014,md,83.0146134719337,2
386,2014,md,82.34410243652775,3
387,2014,md,81.6873057018607,4
388,2014,md,81.05341787917322,5
389,2014,md,80.45163357970591,6
390,2014,md,79.8911474146994,7
391,2014,md,79.38115399539429,8
392,2014,md,78.93084793303117,9
393,2014,md,78.54942383885067,10
394,2014,md,78.2460763240934,11
395,2014,md,78.03,12
396,2015,md,77.90714811468936,1
397,2015,md,77.87050846379381,2
398,2015,md,77.90982747982395,3
399,2015,md,78.01485159529034,4
400,2015,md,78.1753272427036,5
401,2015,md,78.38100085457437,6
402,2015,md,78.62161886341322,7
403,2015,md,78.88692770173077,8
404,2015,md,79.16667380203762,9
405,2015,md,79.45060359684436,10
406,2015,md,79.72846351866161,11
407,2015,md,79.99,12
408,2016,md,80.22627144625632,1
409,2016,md,80.43358415437247,2
410,2016,md,80.60955639417651,3
411,2016,md,80.75180643549646,4
412,2016,md,80.85795254816045,5
413,2016,md,80.92561300199658,6
414,2016,md,80.95240606683286,7
415,2016,md,80.93595001249746,8
416,2016,md,80.87386310881838,9
417,2016,md,80.76376362562371,10
418,2016,md,80.60326983274156,11
419,2016,md,80.39,12
420,2017,md,80.12615730398895,1
421,2017,md,79.83228454834588,2
422,2017,md,79.53350944347008,3
423,2017,md,79.25495969976083,4
424,2017,md,79.02176302761747,5
425,2017,md,78.85904713743929,6
426,2017,md,78.79193973962558,7
427,2017,md,78.84556854457568,8
428,2017,md,79.04506126268888,9
429,2017,md,79.41554560436444,10
430,2017,md,79.9821492800017,11
431,2017,md,80.77,12
432,2018,md,81.79035512482484,1
433,2018,md,82.99899061520695,2
434,2018,md,84.33781208194321,3
435,2018,md,85.74872513583057,4
436,2018,md,87.17363538766591,5
437,2018,md,88.55444844824623,6
438,2018,md,89.83306992836843,7
439,2018,md,90.95140543882943,8
440,2018,md,91.85136059042617,9
441,2018,md,92.47484099395554,10
442,2018,md,92.76375226021449,11
443,2018,md,92.66,12
444,2019,md,92.12609117819306,1
445,2019,md,91.20693817601149,2
446,2019,md,89.9680547287571,3
447,2019,md,88.47495457173173,4
448,2019,md,86.79315144023732,5
449,2019,md,84.98815906957573,6
450,2019,md,83.1254911950488,7
451,2019,md,81.27066155195845,8
452,2019,md,79.48918387560651,9
453,2019,md,77.84657190129487,10
454,2019,md,76.4083393643254,11
455,2019,md,75.24,12
456,2020,md,74.38864821795832,1
457,2020,md,73.82770112519151,2
458,2020,md,73.51215650302845,3
459,2020,md,73.39701213279803,4
460,2020,md,73.43726579582916,5
461,2020,md,73.5879152734508,6
462,2020,md,73.80395834699185,7
463,2020,md,74.0403927977812,8
464,2020,md,74.2522164071478,9
465,2020,md,74.39442695642049,10
466,2020,md,74.42202222692825,11
467,2020,md,74.29,12
468,2021,md,73.97040391293649,1
469,2021,md,73.50346102692615,2
470,2021,md,72.94644425912918,3
471,2021,md,72.35662652670582,4
472,2021,md,71.79128074681635,5
473,2021,md,71.30767983662102,6
474,2021,md,70.96309671328008,7
475,2021,md,70.81480429395378,8
476,2021,md,70.92007549580238,9
477,2021,md,71.3361832359861,10
478,2021,md,72.12040043166522,11
479,2021,md,73.33,12
480,2012,az,74.99719562103635,1
481,2012,az,77.05396402636316,2
482,2012,az,79.40722271045492,3
483,2012,az,81.96388916778612,4
484,2012,az,84.63088089283133,5
485,2012,az,87.31511538006508,6
486,2012,az,89.92351012396186,7
487,2012,az,92.36298261899623,8
488,2012,az,94.5404503596427,9
489,2012,az,96.36283084037579,10
490,2012,az,97.73704155567003,11
491,2012,az,98.57,12
492,2013,az,98.79621290847352,1
493,2013,az,98.46054397873228,2
494,2013,az,97.6354461490512,3
495,2013,az,96.39337235770523,4
496,2013,az,94.80677554296938,5
497,2013,az,92.94810864311866,6
498,2013,az,90.88982459642799,7
499,2013,az,88.70437634117236,8
500,2013,az,86.4642168156268,9
501,2013,az,84.2417989580662,10
502,2013,az,82.10957570676561,11
503,2013,az,80.14,12
504,2014,az,78.39166223581014,1
505,2014,az,76.86770265130026,2
506,2014,az,75.55739894334035,3
507,2014,az,74.45002880880035,4
508,2014,az,73.53486994455035,5
509,2014,az,72.80120004746033,6
510,2014,az,72.23829681440027,7
511,2014,az,71.83543794224023,8
512,2014,az,71.58190112785017,9
513,2014,az,71.46696406810008,10
514,2014,az,71.47990445986004,11
515,2014,az,71.61,12
516,2015,az,71.84493328717468,1
517,2015,az,72.16600652717773,2
518,2015,az,72.55292682758747,3
519,2015,az,72.98540129598221,4
520,2015,az,73.44313703994028,5
521,2015,az,73.90584116704002,6
522,2015,az,74.35322078485977,7
523,2015,az,74.76498300097784,8
524,2015,az,75.12083492297258,9
525,2015,az,75.40048365842229,10
526,2015,az,75.58363631490533,11
527,2015,az,75.65,12
528,2016,az,75.58558378215773,1
529,2016,az,75.40160457332209,2
530,2016,az,75.11558124630979,3
531,2016,az,74.74503267393749,4
532,2016,az,74.30747772902184,5
533,2016,az,73.82043528437957,6
534,2016,az,73.30142421282733,7
535,2016,az,72.76796338718175,8
536,2016,az,72.23757168025958,9
537,2016,az,71.72776796487744,10
538,2016,az,71.256071113852,11
539,2016,az,70.84,12
540,2017,az,70.49274315826851,1
541,2017,az,70.21016777212651,2
542,2017,az,69.98381068717343,3
543,2017,az,69.80520874900866,4
544,2017,az,69.6658988032316,5
545,2017,az,69.55741769544173,6
546,2017,az,69.47130227123841,7
